"id","date","interaction","type"
"55579",2017-07-07,"Adoption","move"
"55580",2017-04-21,"Foster","move"
"55580",2017-05-19,"Foster","move"
"55580",2017-07-07,"Adoption","move"
"55581",2017-04-25,"Foster","move"
"55581",2017-05-27,"Adoption","move"
"55582",2017-04-27,"Foster","move"
"55582",2017-06-27,"Adoption","move"
"55583",2017-04-27,"Foster","move"
"55583",2017-06-09,"Foster","move"
"55583",2017-06-16,"Foster","move"
"55583",2017-06-17,"Foster","move"
"55583",2017-06-18,"Adoption","move"
"55584",2017-04-21,"Foster","move"
"55584",2017-05-19,"Foster","move"
"55584",2017-09-01,"Adoption","move"
"55585",2017-05-15,"Foster","move"
"55585",2017-06-09,"Foster","move"
"55585",2017-06-18,"Adoption","move"
"55586",2017-04-25,"Foster","move"
"55586",2017-05-31,"Adoption","move"
"55587",2017-06-14,"Foster","move"
"55587",2017-08-17,"Adoption","move"
"55588",2017-04-30,"Adoption","move"
"55591",2017-04-23,"Foster","move"
"55591",2017-06-23,"Transfer","move"
"55592",2017-04-23,"Foster","move"
"55592",2017-07-18,"Adoption","move"
"55593",2017-04-25,"Adoption","move"
"55594",2017-04-28,"Adoption","move"
"55595",2017-05-06,"Adoption","move"
"55596",2017-04-30,"Adoption","move"
"55597",2017-04-27,"Adoption","move"
"55598",2017-04-28,"Adoption","move"
"55600",2017-05-05,"Adoption","move"
"55600",2017-07-06,"Transfer","move"
"55601",2017-05-02,"Adoption","move"
"55602",2017-05-02,"Adoption","move"
"55604",2017-05-03,"Adoption","move"
"55610",2017-05-13,"Adoption","move"
"55611",2017-04-22,"Reclaimed","move"
"55612",2017-05-06,"Adoption","move"
"55613",2017-04-23,"Reclaimed","move"
"55616",2017-05-02,"Reclaimed","move"
"55617",2017-05-03,"Adoption","move"
"55618",2017-04-23,"Reclaimed","move"
"55619",2017-06-26,"Adoption","move"
"55619",2017-07-21,"Adoption","move"
"55622",2017-05-01,"Adoption","move"
"55623",2017-04-28,"Adoption","move"
"55624",2017-04-29,"Adoption","move"
"55625",2017-04-24,"Reclaimed","move"
"55625",2017-10-28,"Reclaimed","move"
"55626",2017-04-23,"Reclaimed","move"
"55627",2017-04-24,"Reclaimed","move"
"55631",2017-05-03,"Adoption","move"
"55633",2017-04-27,"Reclaimed","move"
