"id","date","movementdate","interaction","type","duration"
"56079",2017-06-20,2017-05-26,"Stray","return",0
"56080",2017-06-20,2017-05-26,"Stray","return",0
"56081",2017-07-01,2017-06-11,"Stray","return",0
"56082",2017-07-01,2017-06-11,"Stray","return",0
"56085",2017-07-10,2017-06-15,"Stray","return",0
"56086",2017-07-10,2017-06-15,"Stray","return",0
"56090",2017-06-11,2017-06-10,"Stray","return",0
"56090",2017-06-30,2017-06-17,"Stray","return",0
"56090",2017-08-15,2017-07-10,"Stray","return",0
"56094",2017-06-11,2017-06-10,"Stray","return",0
"56094",2017-06-30,2017-06-17,"Stray","return",0
"56094",2017-08-17,2017-07-10,"Stray","return",0
"56095",2017-06-11,2017-06-10,"Stray","return",0
"56095",2017-06-30,2017-06-17,"Stray","return",0
"56095",2017-08-17,2017-07-10,"Stray","return",0
"56095",2017-09-08,2017-08-19,"Incompatible with owner lifestyle","return",0
"56096",2017-06-11,2017-06-10,"Stray","return",0
"56096",2017-06-30,2017-06-17,"Stray","return",0
"56096",2017-08-17,2017-07-10,"Stray","return",0
"56097",2017-06-11,2017-06-10,"Stray","return",0
"56097",2017-06-30,2017-06-17,"Stray","return",0
"56097",2017-08-17,2017-07-10,"Stray","return",0
"56098",2019-10-15,2017-06-11,"Stray","return",0
"56099",2019-07-13,2017-06-11,"Incompatible with other pets","return",0
"56100",2018-07-28,2017-06-16,"Moving","return",0
"56101",2018-07-28,2017-06-16,"Moving","return",0
"56102",2017-08-25,2017-06-08,"Stray","return",0
"56106",2017-08-07,2017-06-10,"Stray","return",0
"56107",2017-08-25,2017-06-10,"Stray","return",0
"56108",2017-07-21,2017-06-10,"Stray","return",0
"56112",2017-07-09,2017-06-10,"Stray","return",0
"56113",2017-07-09,2017-06-10,"Stray","return",0
"56114",2017-07-09,2017-06-10,"Stray","return",0
"56115",2017-07-09,2017-06-10,"Stray","return",0
"56119",2017-07-18,2017-06-10,"Stray","return",0
"56120",2017-07-18,2017-06-10,"Stray","return",0
