"id","sheltercode","identichipnumber","animalname","animalage","sexname","speciesname","breedname","basecolour","intakeage","interactions","timeinsys","transferin","transferout","adopt","adopt_ct","foster","foster_ct","reclaim","reclaim_ct","return","return_ct","dead","intakedate"
"58859","C1803227","","Chaos","1 year 11 months.","Male","Cat","Domestic Short Hair","Black",23,2,11,0,1,0,0,0,0,0,0,0,0,0,2018-03-01
"58860","D1803212","","Sable","2 years 8 months.","Female","Dog","Pitbull","Red",32,4,32,0,0,0,0,0,0,1,2,1,1,0,2018-03-01
"58861","D1803213","981020029736571","Clyde","6 years 0 months.","Male","Dog","Pit Bull Terrier/Labrador Retriever","Brown",72,4,179,0,0,0,0,0,0,1,2,1,1,0,2018-03-01
"58862","D1803214","981020025748112","Gnocchi","1 year 11 months.","Female","Dog","Labrador Retriever/Mix","Black",23,8,75,0,0,1,2,1,1,1,1,1,3,0,2018-03-01
"58863","D1803215","981020025478933","Enzo","2 years 2 months.","Male","Dog","Pitbull/Labrador Retriever","Black",26,11,102,0,0,1,3,1,1,1,1,1,5,0,2018-03-01
"58864","D1803216","981020025484226","Falafel","1 year 2 months.","Male","Dog","Pitbull/Labrador Retriever","Tan",14,4,10,0,0,1,1,0,0,1,1,1,1,0,2018-03-01
"58867","D1803228","","Kasey","16 years 8 months.","Female","Dog","Dachshund","Red",200,2,1,0,0,0,0,0,0,1,1,0,0,0,2018-03-02
"58869","C1803225","981020025509300","Mamma Girl","2 years 11 months.","Female","Cat","Domestic Short Hair","Black and Brown",35,2,36,0,0,1,1,0,0,0,0,0,0,0,2018-03-03
"58870","C1803229","981020025487125","Orion","2 years 8 months.","Male","Cat","Domestic Short Hair","Black",32,2,30,0,0,1,1,0,0,0,0,0,0,0,2018-03-03
"58871","C1803228","981020025478859","Charlotte","7 years 6 months.","Female","Cat","Domestic Short Hair","Black and Brown",90,4,719,0,0,1,1,1,1,0,0,1,1,0,2018-03-03
"58872","C1803230","981020025509365","Amy","3 years 8 months.","Female","Cat","Domestic Short Hair","Grey and White",44,2,9,0,0,1,1,0,0,0,0,0,0,0,2018-03-03
"58873","D1803230","981020025685115","Banker","1 year 6 months.","Male","Dog","Chihuahua/Boxer","Brindle",18,4,31,0,0,1,1,1,1,0,0,1,1,0,2018-03-03
"58874","D1803231","496F6D465B","Harley","9 years 5 months.","Male","Dog","Pug/Beagle","Fawn",113,2,9,0,0,1,1,0,0,0,0,0,0,0,2018-03-03
"58875","D1803232","981020025489481","Hamilton","8 years 10 months.","Male","Dog","Pug/Beagle","Fawn",106,7,19,0,0,1,2,0,0,1,1,1,2,1,2018-03-03
"58877","C1803233","981020025477203","Baker","1 year 5 months.","Male","Cat","Domestic Short Hair","Orange and White",17,2,14,0,0,1,1,0,0,0,0,0,0,0,2018-03-04
"58878","C1803234","981020025505671","Clark","2 years 9 months.","Male","Cat","Domestic Short Hair","Grey and White",33,2,33,0,0,1,1,0,0,0,0,0,0,0,2018-03-04
"58881","C1803235","0A12174B6F","Bubby","6 years 8 months.","Male","Cat","Domestic Short Hair","Black",80,2,14,0,0,1,1,0,0,0,0,0,0,0,2018-03-05
"58882","C1803236","981020025509827","Iris","5 years 0 months.","Female","Cat","Siamese","Silver",60,4,717,0,0,1,1,1,1,0,0,1,1,0,2018-03-05
"58883","C1803237","981020021451753","Lucky","3 years 8 months.","Male","Cat","Domestic Long Hair","Black and White",44,2,32,0,0,1,1,0,0,0,0,0,0,0,2018-03-05
"58884","D1803218","","Doc","1 year 5 months.","Male","Dog","Beagle/Mix","Red",17,2,2,0,0,0,0,0,0,1,1,0,0,0,2018-03-05
"58887","D1803219","981020025476590","Benny","10 months.","Male","Dog","Pitbull","Fawn",10,2,8,0,0,1,1,0,0,0,0,0,0,0,2018-03-05
"58888","D1803220","","Snuffy","8 years 9 months.","Male","Dog","Yorkshire Terrier","Black and Tan",105,2,6,0,0,0,0,0,0,1,1,0,0,0,2018-03-06
"58889","D1803221","","Sassy","3 years 8 months.","Female","Dog","Yorkshire Terrier","Siver and Tan",44,2,6,0,0,0,0,0,0,1,1,0,0,0,2018-03-06
"58891","F1803233","","Riko","3 years 8 months.","Male","Ferret","Ferret","White and Tan",44,2,3,0,0,1,1,0,0,0,0,0,0,0,2018-03-06
"58892","F1803234","","Doodles","2 years 3 months.","Male","Ferret","Ferret","White and Black",27,2,3,0,0,1,1,0,0,0,0,0,0,0,2018-03-06
"58893","G1803238","","Big Momma","2 years 7 months.","Female","Guinea Pig","American Crested","Calico",31,2,17,0,0,1,1,0,0,0,0,0,0,0,2018-03-06
"58894","G1803239","","Smokey","1 year 8 months.","Male","Guinea Pig","American Short hair","Tan and Brown",20,2,6,0,0,1,1,0,0,0,0,0,0,0,2018-03-06
"58895","G1803240","","Chocolate","1 year 8 months.","Male","Guinea Pig","American Short hair","Brown and White",20,2,6,0,0,1,1,0,0,0,0,0,0,0,2018-03-06
"58897","C1803241","981020025765547","Rajah","4 years 8 months.","Male","Cat","Domestic Short Hair","Orange and White",56,2,22,0,0,1,1,0,0,0,0,0,0,0,2018-03-07
"58899","C1803238","981020013644315","Omar Goodness","8 years 2 months.","Male","Cat","Domestic Short Hair","Black and White",98,2,31,0,0,1,1,0,0,0,0,0,0,0,2018-03-07
"58900","D1803242","","Maxi","9 years 10 months.","Male","Dog","Terrier","Black and White",118,2,1,0,0,0,0,0,0,1,1,0,0,0,2018-03-07
"58901","D1803239","985112008875636","Polly Anna","9 years 8 months.","Female","Dog","Beagle","Brown and White",116,2,4,0,1,0,0,0,0,0,0,0,0,0,2018-03-07
"58903","D1803240","981020025485818","Matty","1 year 5 months.","Female","Dog","Boxer/Coonhound","Red",17,2,6,0,0,1,1,0,0,0,0,0,0,0,2018-03-07
