"id","intakedate","movementdate","movementtype"
"55504",2017-04-15,2017-07-01,"Adoption"
"55505",2017-04-15,2017-04-17,"Reclaimed"
"55506",2017-04-15,2017-04-17,"Reclaimed"
"55509",2017-04-17,2017-04-17,"Reclaimed"
"55510",2017-04-17,2017-05-20,"Adoption"
"55511",2017-04-17,2017-04-22,"Adoption"
"55514",2017-04-17,2017-05-03,"Adoption"
"55517",2017-04-17,2017-04-22,"Foster"
"55517",2017-04-17,2017-05-11,"Adoption"
"55518",2017-04-17,2017-04-22,"Foster"
"55518",2017-04-17,2017-05-13,"Adoption"
"55519",2017-04-17,2017-04-22,"Foster"
"55519",2017-04-17,2017-05-16,"Foster"
"55520",2017-04-17,2017-05-04,"Adoption"
"55521",2017-04-17,2017-07-13,"Foster"
"55524",2017-04-17,2017-04-17,"Reclaimed"
"55525",2017-04-17,2017-04-18,"Reclaimed"
"55525",2017-04-17,2017-05-20,"Reclaimed"
"55526",2017-04-17,2017-06-17,"Adoption"
"55530",2017-04-18,2017-04-19,"Reclaimed"
"55531",2017-04-18,2017-04-22,"Adoption"
"55532",2017-04-18,2017-04-22,"Adoption"
"55534",2017-04-18,2017-06-04,"Adoption"
"55535",2017-04-18,2017-04-28,"Adoption"
"55536",2017-04-18,2017-04-28,"Adoption"
"55536",2017-04-18,2017-09-05,"Reclaimed"
"55537",2017-04-18,2017-05-01,"Adoption"
"55542",2017-04-18,2017-04-19,"Reclaimed"
"55546",2017-04-19,2017-05-03,"Adoption"
"55547",2017-04-19,2017-04-19,"Reclaimed"
"55549",2017-04-19,2017-04-23,"Foster"
"55549",2017-04-19,2017-06-11,"Adoption"
"55550",2017-04-19,2017-05-06,"Foster"
"55550",2017-04-19,2017-05-10,"Adoption"
"55551",2017-04-19,2017-04-20,"Reclaimed"
"55552",2017-04-19,2017-04-28,"Adoption"
"55553",2017-04-19,2017-04-23,"Adoption"
"55553",2017-04-19,2017-05-22,"Adoption"
"55554",2017-04-19,2017-04-19,"Reclaimed"
"55555",2017-04-19,2017-04-26,"Reclaimed"
"55555",2017-04-19,2017-05-19,"Reclaimed"
"55557",2017-04-20,2017-04-26,"Reclaimed"
"55557",2017-04-20,2018-01-14,"Adoption"
"55558",2017-04-20,2017-04-25,"Adoption"
"55561",2017-04-20,2017-05-13,"Foster"
"55561",2017-04-20,2017-06-02,"Adoption"
"55561",2017-04-20,2017-06-17,"Adoption"
"55563",2017-04-20,2017-05-13,"Foster"
"55563",2017-04-20,2017-06-02,"Adoption"
"55564",2017-04-20,2017-05-13,"Foster"
"55564",2017-04-20,2017-06-05,"Adoption"
"55565",2017-04-20,2017-05-02,"Adoption"
"55567",2017-04-20,2017-05-13,"Adoption"
"55567",2017-04-20,2017-08-31,"Adoption"
"55569",2017-04-20,2017-07-07,"Adoption"
"55570",2017-04-20,2017-05-06,"Adoption"
"55571",2017-04-20,2017-04-21,"Foster"
"55571",2017-04-20,2017-05-19,"Foster"
"55571",2017-04-20,2017-07-07,"Adoption"
"55572",2017-04-20,2017-04-25,"Foster"
"55572",2017-04-20,2017-05-25,"Adoption"
"55573",2017-04-20,2017-04-21,"Foster"
"55573",2017-04-20,2017-05-19,"Foster"
"55573",2017-04-20,2017-07-07,"Adoption"
"55574",2017-04-20,2017-04-21,"Foster"
"55574",2017-04-20,2017-05-19,"Foster"
"55574",2017-04-20,2017-07-07,"Adoption"
"55575",2017-04-20,2017-04-27,"Foster"
"55575",2017-04-20,2017-06-27,"Adoption"
"55576",2017-04-20,2017-04-25,"Foster"
"55576",2017-04-20,2017-06-17,"Adoption"
"55577",2017-04-20,2017-04-27,"Foster"
"55577",2017-04-20,2017-06-18,"Adoption"
"55578",2017-04-20,2017-04-27,"Foster"
"55578",2017-04-20,2017-06-14,"Adoption"
"55579",2017-04-20,2017-04-21,"Foster"
"55579",2017-04-20,2017-05-19,"Foster"
"55579",2017-04-20,2017-07-07,"Adoption"
"55580",2017-04-20,2017-04-21,"Foster"
"55580",2017-04-20,2017-05-19,"Foster"
"55580",2017-04-20,2017-07-07,"Adoption"
"55581",2017-04-20,2017-04-25,"Foster"
"55581",2017-04-20,2017-05-27,"Adoption"
"55582",2017-04-20,2017-04-27,"Foster"
"55582",2017-04-20,2017-06-27,"Adoption"
"55583",2017-04-20,2017-04-27,"Foster"
"55583",2017-04-20,2017-06-09,"Foster"
"55583",2017-04-20,2017-06-16,"Foster"
"55583",2017-04-20,2017-06-17,"Foster"
"55583",2017-04-20,2017-06-18,"Adoption"
"55584",2017-04-20,2017-04-21,"Foster"
"55584",2017-04-20,2017-05-19,"Foster"
"55584",2017-04-20,2017-09-01,"Adoption"
"55585",2017-04-20,2017-05-15,"Foster"
"55585",2017-04-20,2017-06-09,"Foster"
"55585",2017-04-20,2017-06-18,"Adoption"
"55586",2017-04-20,2017-04-25,"Foster"
"55586",2017-04-20,2017-05-31,"Adoption"
"55587",2017-04-20,2017-06-14,"Foster"
"55587",2017-04-20,2017-08-17,"Adoption"
"55588",2017-04-20,2017-04-30,"Adoption"
"55591",2017-04-20,2017-04-23,"Foster"
"55591",2017-04-20,2017-06-23,"Transfer"
"55592",2017-04-20,2017-04-23,"Foster"
"55592",2017-04-20,2017-07-18,"Adoption"
"55593",2017-04-21,2017-04-25,"Adoption"
"55594",2017-04-21,2017-04-28,"Adoption"
"55595",2017-04-21,2017-05-06,"Adoption"
"55596",2017-04-21,2017-04-30,"Adoption"
