"id","interaction","type","seq","date","date_end","time_int","duration"
"47638","Adoption","move",4,2017-05-06,2020-03-03,2017-05-06 UTC--2020-03-03 UTC,1032
"47639","Abandoned","intake",1,2017-03-11,2017-03-31,2017-03-11 UTC--2017-03-31 UTC,20
"47639","Adoption","move",2,2017-03-31,2017-04-01,2017-03-31 UTC--2017-04-01 UTC,1
"47639","Incompatible with owner lifestyle","return",3,2017-04-01,2017-04-02,2017-04-01 UTC--2017-04-02 UTC,1
"47639","Adoption","move",4,2017-04-02,2019-03-09,2017-04-02 UTC--2019-03-09 UTC,706
"47639","Incompatible with owner lifestyle","return",5,2019-03-09,2019-03-22,2019-03-09 UTC--2019-03-22 UTC,13
"47639","Adoption","move",6,2019-03-22,2019-05-06,2019-03-22 UTC--2019-05-06 UTC,45
"47639","Incompatible with owner lifestyle","return",7,2019-05-06,2019-05-15,2019-05-06 UTC--2019-05-15 UTC,9
"47639","Foster","move",8,2019-05-15,2019-06-12,2019-05-15 UTC--2019-06-12 UTC,28
"47639","Adoption","move",9,2019-06-12,2019-06-12,2019-06-12 UTC--2019-06-12 UTC,0
"47639","Stray","return",10,2019-06-12,2020-03-03,2019-06-12 UTC--2020-03-03 UTC,265
"47654","Abandoned","intake",1,2017-03-14,2017-04-04,2017-03-14 UTC--2017-04-04 UTC,21
"47654","Adoption","move",2,2017-04-04,2020-03-03,2017-04-04 UTC--2020-03-03 UTC,1064
"47659","Abandoned","intake",1,2017-03-14,2017-04-07,2017-03-14 UTC--2017-04-07 UTC,24
"47659","Adoption","move",2,2017-04-07,2020-03-03,2017-04-07 UTC--2020-03-03 UTC,1061
"47661","Abandoned","intake",1,2017-03-15,2017-04-26,2017-03-15 UTC--2017-04-26 UTC,42
"47661","Adoption","move",2,2017-04-26,2020-03-03,2017-04-26 UTC--2020-03-03 UTC,1042
"47662","Abandoned","intake",1,2017-03-15,2017-04-01,2017-03-15 UTC--2017-04-01 UTC,17
"47662","Adoption","move",2,2017-04-01,2020-03-03,2017-04-01 UTC--2020-03-03 UTC,1067
"47665","Abandoned","intake",1,2017-03-15,2017-04-08,2017-03-15 UTC--2017-04-08 UTC,24
"47665","Adoption","move",2,2017-04-08,2017-04-11,2017-04-08 UTC--2017-04-11 UTC,3
"47665","Incompatible with owner lifestyle","return",3,2017-04-11,2017-06-09,2017-04-11 UTC--2017-06-09 UTC,59
"47665","Adoption","move",4,2017-06-09,2020-03-03,2017-06-09 UTC--2020-03-03 UTC,998
"47681","Abandoned","intake",1,2017-03-18,2017-04-12,2017-03-18 UTC--2017-04-12 UTC,25
"47681","Transfer","move",2,2017-04-12,2020-03-03,2017-04-12 UTC--2020-03-03 UTC,1056
"47683","Abandoned","intake",1,2017-03-18,2017-04-12,2017-03-18 UTC--2017-04-12 UTC,25
"47683","Adoption","move",2,2017-04-12,2020-03-03,2017-04-12 UTC--2020-03-03 UTC,1056
"47684","Abandoned","intake",1,2017-03-18,2017-04-26,2017-03-18 UTC--2017-04-26 UTC,39
"47684","Foster","move",2,2017-04-26,2017-05-21,2017-04-26 UTC--2017-05-21 UTC,25
"47684","Stray","return",3,2017-05-21,2017-07-27,2017-05-21 UTC--2017-07-27 UTC,67
"47684","Foster","move",4,2017-07-27,2017-07-31,2017-07-27 UTC--2017-07-31 UTC,4
"47684","Adoption","move",5,2017-07-31,2017-07-31,2017-07-31 UTC--2017-07-31 UTC,0
"47684","Stray","return",6,2017-07-31,2020-03-03,2017-07-31 UTC--2020-03-03 UTC,946
"47685","Abandoned","intake",1,2017-03-18,2017-04-13,2017-03-18 UTC--2017-04-13 UTC,26
"47685","Adoption","move",2,2017-04-13,2018-05-10,2017-04-13 UTC--2018-05-10 UTC,392
"47685","Moving","return",3,2018-05-10,2018-05-14,2018-05-10 UTC--2018-05-14 UTC,4
"47685","Transfer","move",4,2018-05-14,2020-03-03,2018-05-14 UTC--2020-03-03 UTC,659
"47688","Abandoned","intake",1,2017-03-18,2017-03-20,2017-03-18 UTC--2017-03-20 UTC,2
"47688","Foster","move",2,2017-03-20,2017-04-17,2017-03-20 UTC--2017-04-17 UTC,28
"47688","Stray","return",3,2017-04-17,2017-04-26,2017-04-17 UTC--2017-04-26 UTC,9
"47688","Adoption","move",4,2017-04-26,2020-03-03,2017-04-26 UTC--2020-03-03 UTC,1042
"47695","Abandoned","intake",1,2017-03-20,2017-03-31,2017-03-20 UTC--2017-03-31 UTC,11
"47695","Adoption","move",2,2017-03-31,2020-03-03,2017-03-31 UTC--2020-03-03 UTC,1068
"47696","Abandoned","intake",1,2017-03-20,2017-04-07,2017-03-20 UTC--2017-04-07 UTC,18
"47696","Adoption","move",2,2017-04-07,2020-03-03,2017-04-07 UTC--2020-03-03 UTC,1061
"47697","Abandoned","intake",1,2017-03-21,2017-04-21,2017-03-21 UTC--2017-04-21 UTC,31
"47697","Adoption","move",2,2017-04-21,2020-03-03,2017-04-21 UTC--2020-03-03 UTC,1047
"47698","Stray","intake",1,2017-03-21,2017-03-26,2017-03-21 UTC--2017-03-26 UTC,5
"47698","Foster","move",2,2017-03-26,2017-05-15,2017-03-26 UTC--2017-05-15 UTC,50
"47698","Stray","return",3,2017-05-15,2017-06-21,2017-05-15 UTC--2017-06-21 UTC,37
"47698","Adoption","move",4,2017-06-21,2020-03-03,2017-06-21 UTC--2020-03-03 UTC,986
"47701","No Reason","intake",1,2017-03-21,2017-03-28,2017-03-21 UTC--2017-03-28 UTC,7
"47701","Transfer","move",2,2017-03-28,2020-03-03,2017-03-28 UTC--2020-03-03 UTC,1071
"47702","Abandoned","intake",1,2017-03-21,2017-04-08,2017-03-21 UTC--2017-04-08 UTC,18
"47702","Adoption","move",2,2017-04-08,2020-03-03,2017-04-08 UTC--2020-03-03 UTC,1060
"47703","Abandoned","intake",1,2017-03-21,2017-04-08,2017-03-21 UTC--2017-04-08 UTC,18
"47703","Foster","move",2,2017-04-08,2017-05-03,2017-04-08 UTC--2017-05-03 UTC,25
"47703","Adoption","move",3,2017-05-03,2017-05-03,2017-05-03 UTC--2017-05-03 UTC,0
